index,speaker,file,rec_date,ipu,prompt,word,time,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel,voicing_start,voicing_end,voicing_duration,voiced_points,GONS,max,NOFF,NONS,peak1,peak2,c1_duration,c1_clos_duration,c1_vot,c1_rvoff,v1_duration,c2_duration,c2_clos_duration,v2_duration,v_v,word_duration,sentence_duration,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place,speech_rate,speech_rate_c,f1,f2,f3,f0
30,pl05,pl05-030,26/05/2017 18:31:01,ipu_30,Mowie podo teraz,podo,67.469977,0.8170971814058845,1.8870751814058904,1.1170971814058817,1.5250130295276136,1.2570971814058822,1.3658950407540118,1.427097181405884,1.2191890426127827,1.4160766732175745,1.2527669105910553,1.528632568735369,275.8656581443137,5,1.262,1.3865,1.393,1.38,1.3365,1.4335,140.00000000000057,102.09186120690106,33.57786797827256,146.7059981412291,108.79785934812958,61.20214065187213,50.181632463562664,97.91584812172972,170.0000000000017,407.915848121732,1.069978000000006,Polish,m,poli1260,34,podo,p,voiceless,o,back,mid,d,voiced,coronal,5.607591931796697,0.1550108349901551,567.5353701982201,940.1543057440044,2554.346409257051,144.88207016488863
31,pl05,pl05-031,26/05/2017 18:31:04,ipu_31,Mowie pugu teraz,pugu,69.494966,0.6826303990929716,1.6926073990929638,0.9651004173049104,1.3167402125821184,1.082630399092963,1.1679695299648358,1.2526303990929648,1.044768542090864,1.228949751940874,1.0822956195217013,1.314309114851362,232.01349532966088,5,1.082,NA,NA,NA,NA,NA,117.52998178805284,79.66812478595386,37.52707743083717,123.20098787397173,85.33913087187273,84.66086912812898,60.98022197603825,64.10981348915357,170.0000000000017,351.6397952772081,1.009976999999992,Polish,m,poli1260,44,pugu,p,voiceless,u,back,high,g,voiced,velar,5.940729343341529,0.4881482465349869,433.1041341317289,539.3002101806937,2313.2265197685338,146.92940622952236
32,pl05,pl05-032,26/05/2017 18:31:08,ipu_32,Mowie pada teraz,pada,71.714966,0.7780045487528326,1.798004548752829,1.0744731615128984,1.463788649141236,1.178805848023714,1.2985952288324398,1.3623540928112732,1.162947694599154,1.347880059074669,1.1800269003780084,1.3353548412328893,155.3279408548809,5,1.163,1.2235,1.356,NA,1.2125,1.367,104.33268651081562,88.47453308625575,17.079205778854245,135.64753423328568,119.7893808087258,63.75886397883335,49.28483024222885,101.4345563299628,183.54824478755916,389.3154876283376,1.019999999999996,Polish,m,poli1260,26,pada,p,voiceless,a,central,low,d,voiced,coronal,5.882352941176493,0.4297718443699514,687.2883108311448,1058.904476301054,2507.8558640481797,143.03833252921848
33,pl05,pl05-033,26/05/2017 18:31:11,ipu_33,Mowie poko teraz,poko,73.974966,0.8088889024943171,1.833877902494322,1.0888889024943182,1.4881500105687309,1.2137936867810168,1.3017036356003189,1.4088889024943256,1.179387536754632,1.3793933185938414,1.206819828670193,1.314283166539726,107.46333786953288,1,1.192,1.3585,1.366,1.348,1.2525,1.4215,124.9047842866986,90.4986342603138,27.43229191556096,122.31609884568684,87.90994881930203,107.18526689400676,77.68968299352252,79.26110807440523,195.0952157133088,399.2611080744126,1.024989000000005,Polish,m,poli1260,35,poko,p,voiceless,o,back,mid,k,voiceless,velar,5.853721357009656,0.401140260203114,579.0331523131324,902.4964832314624,2256.9444472859573,144.83110506974836
34,pl05,pl05-034,26/05/2017 18:31:14,ipu_34,Mowie paka teraz,paka,76.214966,0.6804535283446711,1.705442528344662,0.9604535283446722,1.3465460073378352,1.0804535283446626,1.180453528344671,1.2704535283446603,1.0516253091485763,1.246727605243322,1.1798640786743229,1.2745700153152837,94.70593664096084,0,1.083,1.2325,1.242,1.222,1.1595,1.3105,119.99999999999034,91.17178080390433,128.2387695257463,128.82821919609455,100.00000000000853,89.9999999999892,66.27407689865095,76.09247899317495,189.99999999999773,386.092478993163,1.0249889999999908,Polish,m,poli1260,27,paka,p,voiceless,a,central,low,k,voiceless,velar,5.8537213570097375,0.4011402602031957,737.1910041650065,1196.7072678591471,2256.5282587520164,139.1040706993462
35,pl05,pl05-035,26/05/2017 18:32:24,ipu_35,Mowie putu teraz,putu,78.824943,1.0032649954648465,2.0232649954648423,1.2832649954648474,1.65641229813356,1.419368130593014,1.4889232549335532,1.5832649954648446,1.391587512431002,1.5593361790672589,1.4161726264567505,1.4949749427440984,78.8023162873479,0,1.399,NA,NA,NA,NA,NA,136.10313512816674,108.32251696615458,24.58511402574848,97.33574250255116,69.55512434053901,94.3417405312914,70.4129241337057,73.1473026687155,163.89686487183042,373.14730266871265,1.019999999999996,Polish,m,poli1260,41,putu,p,voiceless,u,back,high,t,voiceless,coronal,5.882352941176493,0.4297718443699514,360.9156594461685,855.8604293313041,2506.0087556813382,159.04715673468684
36,pl05,pl05-036,26/05/2017 18:31:22,ipu_36,Mowie pogo teraz,pogo,80.879955,0.7014515986394372,1.6764625986394464,0.9614515986394424,1.3266455874328358,1.0832026522409135,1.170146557666598,1.2464639857624888,1.0493348034792689,NA,1.080455810222794,1.3391197565986657,258.6639463758718,5,1.071,1.2145,1.223,1.205,1.1465,1.2735,121.75105360147144,87.88320483982659,31.121006743525022,120.81175418732926,86.94390542568442,76.3174280958907,NA,80.18160167034694,163.26133352157512,365.1939887933935,0.9750110000000092,Polish,m,poli1260,36,pogo,p,voiceless,o,back,mid,g,voiced,velar,6.153776726621488,0.7011956298149462,593.3507279626383,977.753227554676,2303.2472812099904,153.79011888505906
37,pl05,pl05-037,26/05/2017 18:32:40,ipu_37,Mowie pata teraz,pata,83.449977,1.0655779070294642,2.135555907029456,1.3455779070294651,1.7646739097062325,1.4777590218014751,1.5859558818867754,1.6700016571315928,1.4361669411350275,1.6582908497398137,1.5848887977554251,1.6727685151220342,87.87971736660882,0,1.46,1.5765,1.63,1.57,1.5675,1.694,132.18111477200978,90.5890341055624,148.7218566203976,149.78894075174765,108.19686008530029,84.04577524481738,72.33496785303828,94.67225257463951,192.24263533011765,419.09600267676694,1.069977999999992,Polish,m,poli1260,25,pata,p,voiceless,a,central,low,t,voiceless,coronal,5.6075919317967715,0.15501083499022972,714.6019305649487,1183.7894011205271,2435.232764714002,145.55096778607052
38,pl05,pl05-038,26/05/2017 18:32:43,ipu_38,Mowie paga teraz,paga,85.535011,0.6428568049886394,1.787800804988649,0.9636146232126634,1.4311796257241127,1.1104532190426966,1.2476313809365536,1.3181525486707244,1.0828589465947118,1.2953466071591038,1.1085543944106917,1.43083525558575,322.2808611750585,5,1.086,1.2825,1.291,1.28,1.1205,1.3665,146.8385958300331,119.24432338204838,25.695447815979655,164.77243434184174,137.178161893857,70.52116773417083,47.7152262225502,113.02707705338833,207.69932962802784,467.5650025114493,1.1449440000000095,Polish,m,poli1260,28,paga,p,voiceless,a,central,low,g,voiced,velar,5.240430973043179,-0.2121501237633625,710.4803667671972,1192.6294166788985,2369.1271595288545,139.17038435441867
39,pl05,pl05-039,26/05/2017 18:32:46,ipu_39,Mowie puku teraz,puku,87.529977,0.582856818594081,1.6178228185940782,0.8615245599494159,1.2460098306096654,0.9828568185940724,1.0537671952795336,1.1728568185940844,0.9468547042183956,1.133852930643684,0.9831643716094624,1.0734780895254512,90.31371791598886,1,0.953,NA,NA,NA,NA,NA,121.33225864465658,85.33014426897978,36.30966739106667,106.91249106113789,70.91037668546107,119.08962331455086,80.08573536415042,73.153012015581,190.0000000000119,384.4852706602495,1.0349659999999972,Polish,m,poli1260,43,puku,p,voiceless,u,back,high,k,voiceless,velar,5.797291891714333,0.3447107949077912,342.6323376550331,664.2799190552998,2401.424216089883,161.38508358487076
